%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bumper,field.cliff,field.sonar,field.illumination,field.led,field.button,field.torque,field.left_encoder,field.right_encoder,field.battery
1587292506414213564,27997,1587292506433363937,,2,117.0,0.0,410.0,0,0,1,8666,6564,11.970000267
1587292506456628929,27998,1587292506466363937,,2,81.0,0.0,414.0,0,0,1,8700,6599,11.970000267
1587292506504909606,27999,1587292506501363937,,2,137.0,0.0,495.0,0,0,1,8736,6633,11.970000267
1587292506524837471,28000,1587292506535363937,,2,80.0,0.0,426.0,0,0,1,8767,6666,11.9799995422
1587292506564058721,28001,1587292506568363937,,2,137.0,0.0,397.0,0,0,1,8799,6700,11.970000267
1587292506601574814,28002,1587292506615363937,,2,126.0,0.0,487.0,0,0,1,8846,6746,11.9799995422
1587292506646796429,28003,1587292506648363937,,2,80.0,0.0,452.0,0,0,1,8880,6778,11.970000267
1587292506688548044,28004,1587292506681363937,,2,117.0,0.0,429.0,0,0,1,8913,6809,11.9799995422
1587292506708146221,28005,1587292506718363937,,2,117.0,0.0,408.0,0,0,1,8949,6846,11.970000267
1587292506748640127,28006,1587292506751363937,,2,137.0,0.0,385.0,0,0,1,8981,6880,11.970000267
1587292506769315856,28007,1587292506788363937,,2,117.0,0.0,466.0,0,0,1,9018,6915,11.970000267
1587292506816153408,28008,1587292506821363937,,2,138.0,0.0,420.0,0,0,1,9051,6948,11.970000267
1587292506861756273,28009,1587292506856363937,,2,118.0,0.0,421.0,0,0,1,9084,6982,11.970000267
1587292506875808408,28010,1587292506890363937,,2,138.0,0.0,481.0,0,0,1,9116,7015,11.970000267
1587292506919095491,28011,1587292506923363937,,2,117.0,0.0,421.0,0,0,1,9150,7048,11.970000267
1587292506964862314,28012,1587292506958363937,,2,127.0,0.0,424.0,0,0,1,9185,7081,11.970000267
1587292506976987418,28013,1587292506992363937,,2,117.0,0.0,398.0,0,0,1,9219,7115,11.9799995422
1587292507020650543,28014,1587292507025363937,,2,122.0,0.0,384.0,0,0,1,9251,7149,11.9799995422
1587292507060617470,28015,1587292507058363937,,2,118.0,0.0,375.0,0,0,1,9283,7181,11.970000267
1587292507078292627,28016,1587292507094363937,,2,138.0,0.0,377.0,0,0,1,9319,7216,11.9799995422
1587292507120352418,28017,1587292507127363937,,2,80.0,0.0,397.0,0,0,1,9350,7247,11.970000267
1587292507163853304,28018,1587292507172363937,,2,136.0,0.0,396.0,0,0,1,9397,7292,11.970000267
1587292507204347262,28019,1587292507205363937,,2,81.0,0.0,404.0,0,0,1,9431,7325,11.970000267
1587292507225692627,28020,1587292507238363937,,2,139.0,0.0,392.0,0,0,1,9464,7356,11.9799995422
